Place,Venues,Repertory
"Los Angeles, CA, USA","Thorne Hall, Occidental College; Jefferson High School; Shrine Auditorium; Royce Hall, University of California, Los Angeles; Wiltern Theater; Greek Theatre; Santa Monica Civic Auditorium; Japanese American Cultural Center; Wadsworth Theater; The Greek Theatre; Hollywood Palace Theater; Wiltern Theatre; UCLA; Royce Hall, University of California Los Angeles",Missa Brevis; The Still Point; Spectrum; Concerto in F; Countdown; Landscape; Kinetic Molpai; The Prodigal Prince; Diversion No. 1; Pas de Duke; Cry; Night Shade; Myth; Anjour: Ruminations on Dudley; Icarus; Toccata; Tilt; Feast of Ashes; Variegations; Masekela Langage; Gillespiana; Blood Burning Moon; Gazelle; Night Creature; Opus McShann; Poeme; The River; Congo Tango Palace; The Road of the Phoebe Snow; Flowers; Vespers; Quintet; The Stack-Up; Survivors; Journey; Love Songs; Suite Otis; Later That Day; Seven Journeys; Panambi; Rainbow 'Round My Shoulder; Butterfly; Revelations; The Beloved; Continental American Suite; After Eden; Hidden Rites; Fever Swamp; Hobo Sapiens; Bad Blood; Hermit Songs; Divining; Research; How Long Have It Been; The Time Before the Time After (After the Time Before); Treading; Crossword; Streams; Witness; Caverna Magica; Dance for Six; For 'Bird' - With Love; Speeds; Collage; The Lark Ascending; Light; Inside; Satyriade; Fontessa and Friends; From the Mountains of Taubalu; Facets; Memoria; Portrait of Billie; Songs Without Words; Blues Suite; Reflections in D; Pigs and Fishes; Tell It Like It Is; Blood Memories; Shards; Carmina Burana; Les Noces; Metallics
"Louisville, KY, USA","Whitney Auditorium, Kentucky Center",Divining; Concerto in F; Cry; Treading; Fever Swamp; Pigs and Fishes; Revelations; The Stack-Up; Night Creature; Fontessa and Friends
"Ludwigsburg, Germany",Forum am Schlosspark,Journey; Suite Otis; Come and Get the Beauty of It Hot; Sarong Paramaribo; Reflections in D; Streams; Revelations; Night Creature
"Ludwigshafen, West Germany",Theater im Pfalzbau; Theater am Pfalsbau,Divining; Survivors; Concerto in F; Love Songs; Cry; Treading; Blues Suite; Fever Swamp; Pigs and Fishes; Bad Blood; Revelations; The Stack-Up; Night Creature
"Luxembourg, Luxembourg",Theatre Municipal,Toccata; Love Songs; The Time Before the Time After (After the Time Before); Cry; Myth; Suite Otis; Blues Suite; Sunrise... Sunset; Streams; Butterfly; Revelations; Hermit Songs; Gazelle; The Road of the Phoebe Snow; Night Creature
"Lyon, France",Theatre Romain de Fourviere,Cry; Night Creature; Concerto in F; Revelations
"Macomb, IL, USA","University Union, Western Illinois University; Western Hall, Western Illinois University",Blues Suite; Clear Songs After Rain; Kinetic Molpai; Streams; Revelations
"Madison, NJ, USA","Fairleigh Dickinson University, Florham-Madison Campus; Dreyfuss College Auditorium, Fairleigh Dickinson University; Baldwin Auditorium, Drew University",Blues Suite; Streams; Revelations
"Madison, WI, USA","Wisconsin Union Theater, University of Wisconsin Madison; Union Theater, University of Wisconsin at Madison; Oscar Mayer Theater; Wisconsin Union Theater, University of Wisconsin at Madison; Madison Civic Center",The Still Point; The River; Light; Spectrum; Concerto in F; Time Out of Mind; The Prodigal Prince; Hermit Songs; The Stack-Up; Divining; Suite Otis; Treading; Cry; Blues Suite; Reflections in D; Pigs and Fishes; Icarus; Phases; Speeds; Gillespiana; The Lark Ascending; Revelations; Night Creature
"Madrid, Spain",Teatro de la Zarzuela; Palacio de Expositione y Congresso,Caverna Magica; Divining; Carmina Burana; Love Songs; Suite Otis; Treading; Cry; Blues Suite; The Mooche; Bad Blood; Streams; The Magic of Katherine Dunham; Revelations; The Stack-Up; Night Creature
"Mandalay, Burma",,Mountainway Chant; Been Here and Gone; Gillespiana; Roots of the Blues; Revelations; The Beloved
"Manhattan, KS, USA","Kansas State University, McCain Auditorium",Carmina Burana; Love Songs; Cry; After Eden; Revelations; The Lark Ascending; Night Creature
"Manila, Philippines",Araneta Coliseum,Gillespiana; Roots of the Blues; Mountainway Chant; Revelations
"Mankato, MN, USA",Mankato High School Auditorium,Quintet; Blues Suite; Revelations
"Mannheim, Germany",Nationaltheater,
"Matsudo, Japan",Seitoku Gakuen Kawanami Memorial Hall,Speeds; Divining; Love Songs; Revelations
"McAllen, TX, USA",McAllen Civic Center,Cry; Flowers; Blues Suite; Revelations
"Meknès, Morocco",Cinema Rif,Toccata; Blues Suite; Reflections in D; Revelations; Icarus
"Melbourne, Australia","The State Theatre, Victorian Arts Centre; Comedy Theatre; Princess Theatre",The Road of the Phoebe Snow; Fontessa and Friends; Isba; Been Here and Gone; Mountainway Chant; Concerto in F; How to Walk an Elephant; Memoria; Hermit Songs; The Stack-Up; Divining; Letter to a Lady; Treading; Roots of the Blues; Lament; Cry; Blues Suite; Suite Otis; Reflections in D; Speeds; Gillespiana; Revelations; Night Creature; The Beloved; Rooms
"Merrick, NY, USA",Calhoun High School,
"Mexico City, Mexico","Sala Miguel Covarrubias, Centro Cultural Universitario; Teatro de Bellas Artes",The Still Point; The River; Facets; Concerto in F; Gazelle; Memoria; Passage; Pas de Duke; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Later That Day; Streams; Phases; Rainbow 'Round My Shoulder; Butterfly; Revelations; The Lark Ascending; Night Creature
"Miami Beach, FL, USA",Jackie Gleason Theater of the Performing Arts,Caverna Magica; Divining; Survivors; Concerto in F; Journey; Suite Otis; Treading; Love Songs; The Stack-Up; Blues Suite; Bad Blood; Revelations; Vespers; The Lark Ascending; Night Creature
"Miami, FL, USA",Miami Beach Theater,Blueshift; The Still Point; The River; Inside; Lullaby for a Jazz Baby; Fontessa and Friends; Isba; Spectrum; Concerto in F; Fever Swamp; Landscape; Memoria; The Stack-Up; Research; Love Songs; Songs Without Words; Treading; Cry; Blues Suite; Pigs and Fishes; Phases; Revelations; The Lark Ascending; Night Creature
"Middelburg, Netherlands",Schouwburg,Metallics; Lament; The Road of the Phoebe Snow; Revelations
"Middlebury, VT, USA","Wright Memorial Theatre, Middlebury College",Cry; Blues Suite; Rainbow 'Round My Shoulder; Revelations
"Middletown, NY, USA",Middletown High School Auditorium,Blues Suite; Streams; Revelations
"Milan, Italy",Piccolo Teatro; Teatro Nazionale,The Road of the Phoebe Snow; Bad Blood; Vespers; The Stack-Up; Divining; Survivors; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Reflections in D; The Magic of Katherine Dunham; Caverna Magica; Toccata; Speeds; Revelations; The Lark Ascending; Night Creature
"Millersville, PA, USA","Lyte Auditorium, Millersville State College",The Road of the Phoebe Snow; Blues Suite
"Milwaukee, WI, USA","Uihlein Hall, Performing Arts Center; Alverno Auditorium, Alverno College; Dance Studio, University of Wisconsin at Milwaukee; Uihlein Hall; Performing Arts Center; Performing Arts Center, Uihlein Hall; Uihlein Stage; Pabst Theatre, University of Wisconsin",The Still Point; After Eden; Hidden Rites; Liberian Suite; Concerto in F; Flowers; Memoria; Hobo Sapiens; Vespers; Quintet; The Stack-Up; Choral Dances; Divining; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Suite Otis; Blues Suite; Reflections in D; Tell It Like It Is; Streams; Icarus; Echoes in Blue; Toccata; Shards; Phases; Les Noces; Butterfly; Revelations; Gazelle; Night Creature
"Minneapolis, MN, USA","Northrup Auditorium, University of Minnesota; University of Minnesota; Northrop Memorial Auditorium, University of Minnesota",The Road of the Phoebe Snow; Concerto in F; Flowers; Fever Swamp; Clear Songs After Rain; Memoria; Kinetic Molpai; The Stack-Up; Divining; The Time Before the Time After (After the Time Before); Treading; Cry; Suite Otis; Later That Day; Pigs and Fishes; Streams; The Magic of Katherine Dunham; Dance for Six; Phases; Rainbow 'Round My Shoulder; The Wedding; Les Noces; Revelations; The Lark Ascending
"Mito, Japan",Ibaraki Kenritsu Kenmin Bunka Center,Cry; Revelations; Concerto in F; Suite Otis
"Modena, Italy",Teatro Grande in Piazza,Cry; Seven Journeys; Blues Suite; Revelations
"Mombasa, Kenya",Chandria Hall,Lament; Congo Tango Palace; Blues Suite; Revelations; Metallics
"Montclair, NJ, USA",Montclair High School Auditorium,Feast of Ashes; Journey; Fanga; Revelations; Night Creature
"Montevideo, Uruguay",Teatro Solis,Facets; Night Creature; Revelations
"Montgomery, WV, USA","Keyton Theater, part of W. Virginia Colleges",
"Montreal, Quebec, Canada","Salle Wilfrid-Pelletier, Place des Arts; Place des Arts; Salle Wilfrid-Pelletier",Inside; Memoria; The Stack-Up; Divining; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Later That Day; Streams; Caverna Magica; Rainbow 'Round My Shoulder; Speeds; Les Noces; Butterfly; Revelations; Caravan; Night Creature
"Moorhead, MN, USA","Center For The Arts Auditorium, Moorhead State College",Time Out of Mind; Blues Suite; Revelations
"Moscow, Russia, U.S.S.R.",Variety Theater,Poeme; Toccata; Dance for Six; Journey; Congo Tango Palace; Blues Suite; Reflections in D; Masekela Langage; The Prodigal Prince; Streams; Revelations; Metallics; The Road of the Phoebe Snow; Icarus
"Mount Pleasant, MI, USA","Warner Auditorium, Central Michigan University",Threnody; The Road of the Phoebe Snow; Blues Suite
"Muncie, IN, USA","Emens Auditorium, Ball State University",Toccata; Journey; Blues Suite; Revelations; Icarus
"Munich, Germany",Bayerische Staatsoper Nationaltheater; Deutsches Theater,The Road of the Phoebe Snow; Episodes; Chelsea's Bells; Landscape; Memoria; Bad Blood; Hermit Songs; Vespers; The Stack-Up; Divining; Come and Get the Beauty of It Hot; Treading; Cry; Suite Otis; Blues Suite; Night Shade; Streams; Toccata; For 'Bird' - With Love; Shards; Rainbow 'Round My Shoulder; Revelations; Night Creature; Rooms
"Münster, Germany",Stadtische Bühnen,Rooms; Come and Get the Beauty of It Hot; Revelations
"Nagoya, Japan",Aichiken Bunka Kaikan; Nagoya Shimin Kaikan,Mountainway Chant; Been Here and Gone; Letter to a Lady; Cry; Roots of the Blues; Gillespiana; Blues Suite; Streams; Revelations; According to Eve
"Nairobi, Kenya",City Hall,Lament; Congo Tango Palace; Blues Suite; The Prodigal Prince; Revelations; Metallics
"Nanchang, China",Nanchang Railroad Workers' Cultural Palace,Concerto in F; Cry; Memoria; Revelations; Night Creature
"Nashville, TN, USA","Andrew Jackson Hall; Kean Hall, A&I State University",Toccata; Love Songs; The River; Blues Suite; Rainbow 'Round My Shoulder; Reflections in D; Memoria; Revelations; Night Creature; Icarus
"Nervi, Italy",Teatro al Parchi; Open Air Theater,Spectrum; Concerto in F; Phases; Cry; Treading; Blues Suite; Rainbow 'Round My Shoulder; Memoria; Pigs and Fishes; Streams; Revelations; Sonnets; Night Creature; Fontessa and Friends
"Neuss, West Germany",Stadthalle; Stadtshalle,Suite Otis; Cry; Memoria; Revelations; Night Creature; Fontessa and Friends
"New Brunswick, NJ, USA","State Theatre, Rutgers University",Portrait of Billie; Feast of Ashes; Fanga; Blues Suite; Rainbow 'Round My Shoulder; The Wedding; Revelations; The Lark Ascending
"New Delhi, India",Kamani Hall,Facets; Journey; Cry; Blues Suite; Rainbow 'Round My Shoulder; The Lark Ascending; Streams; Revelations; Gazelle; The Road of the Phoebe Snow; Night Creature
"New Haven, CT, USA",Unknown (for now) venue in New Haven,
"New London, CT, USA","Palmer Auditorium, Connecticut College",Poeme; Light; Hidden Rites; The Road of the Phoebe Snow; Kinetic Molpai; Metallics; Hermit Songs; Quintet; Mary Lou's Mass; Divining; Journey; Love Songs; Treading; Cry; Blues Suite; Reflections in D; Streams; Icarus; Toccata; Dance for Six; Shards; Carmina Burana; Suspensions; Rainbow 'Round My Shoulder; Masekela Langage; Labyrinth; Gillespiana; The Lark Ascending; Revelations
"New London, NH, USA","Sawyer Auditorium, Colby College",Lament; Congo Tango Palace; The Prodigal Prince; Revelations; Metallics
"New Orleans, LA, USA",Amphitheatre; Seanger Theater; Municipal Auditorium; Saenger Auditorium,After Eden; The Road of the Phoebe Snow; Fontessa and Friends; Fever Swamp; Memoria; Bad Blood; Vespers; The Stack-Up; Journey; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Songs Without Words; Suite Otis; Blues Suite; Night Shade; Pigs and Fishes; Streams; Toccata; Feast of Ashes; Carmina Burana; Phases; Rainbow 'Round My Shoulder; Masekela Langage; Butterfly; Revelations; Night Creature
"New Paltz, NY, USA",State University College,Blues Suite
"New Rochelle, NY, USA",Loew's Theatre,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"New Wilmington, PA, USA","Will W. Orr Auditorium, Westminster College",Toccata; Journey; Blues Suite; Revelations; Icarus
"New York City, NY, USA","Fashion Institute of Technology; The Music Hall, Sailors' Snug Harbor; New York State Pavilion, World's Fair; Bronx Community College; Liberty Park; Clark Center for the Performing Arts, YWCA; Staten Island Community College; Palladium; Delacorte Theatre, Central Park; Theatre-in-the-Park, Central Park; The Waldorf Astoria; Theresa L. Kaufmann Concert Hall; Bond International Casino; Lewisohn Stadium; Clark Center for the Performing Arts; Church of the Master; PS 175, Garnet Public School; Unknown (for now) venue in Brooklyn; Prospect Park; St. Peter's Church; City Center; Harlem School of the Arts, Inc./SUNY; Clark Center for the Performing Arts, Westside YWCA; Canarsie High School Auditorium; Hunter College Playhouse; Queensborough Community College; Madison Square Garden; City Center 55 Street Theater; City Center 55th Street Theater; New York Public Library/42nd Street; Lehman Center for the Performing Arts, Lehman College, City University of New York; Americana Hotel; Alice Tully Hall; Delacorte Theater, Central Park; Davis Hall, City College; 1515 Broadway; ANTA Theatre; City Center Dance Theater; The Mall, Central Park; Whitman Auditorium, Brooklyn College; Newhouse Theater, Lincoln Center; Cathedral of St. John The Divine; Billy Rose Theatre; Spencer Memorial Church; Ailey Dance Center; Apollo Theatre; Kaufmann Concert Hall, The Dance Center of the YM-YWHA; Brooklyn Academy of Music; Metropolitan Opera House; Douglas Fairbanks Theater; New York State Theater; Van Cortlandt Park, NY; Philharmonic Hall, Lincoln Center; Village Gate; Steps of Metropolitan Opera House; Cloves Lake Park","Blueshift; Missa Brevis; The Still Point; To Jose Clemente Orozco; Knoxville: Summer of 1915; Episodes; Places; Spectrum; Concerto in F; Countdown; Fanga; Child of the Earth; Landscape; Kinetic Molpai; Time Out of Mind; Ode and Homage; Passage; The Prodigal Prince; Choral Dances; Pas de Duke; Escapades; Cry; Night Shade; The Magic of Katherine Dunham; Myth; The Mooche; Anjour: Ruminations on Dudley; Icarus; Echoes in Blue; Toccata; Paz; Tilt; Feast of Ashes; Variegations; The Wedding; Masekela Langage; Gillespiana; Blood Burning Moon; Gazelle; District Storyville; Night Creature; Opus McShann; Poeme; The River; Suspension; Congo Tango Palace; Threnody; The Road of the Phoebe Snow; Cinco Latinos; MASS - A Theatre Piece for Singers, Players and Dancers; Been Here and Gone; Flowers; Archipelago; Nubian Lady; Clear Songs After Rain; Canticle of the Elements; Medusa; Three Black Kings; Quintet; Vespers; The Stack-Up; Precipice; Mary Lou's Mass; Survivors; Journey; Love Songs; Suite Otis; Lament; Later That Day; Seven Journeys; Black, Brown and Beige; Suspensions; Rainbow 'Round My Shoulder; Panambi; Butterfly; Revelations; Mingus; Sonnets; The Beloved; Continental American Suite; After Eden; Black Unionism; Hidden Rites; Spell; Fever Swamp; Mourner's Bench; Hobo Sapiens; Bad Blood; Coverage II; Ariette Oubliee; Hermit Songs; The Black Belt; Divining; Research; How Long Have It Been; Come and Get the Beauty of It Hot; Treading; Roots of the Blues; Letter to a Lady; The Time Before the Time After (After the Time Before); Crossword; Creation of the World; Streams; Witness; Caverna Magica; Nocturne; Dance for Six; For 'Bird' - With Love; Speeds; Collage; Fire Sermon; The Lark Ascending; Spirituals; Caravan; Three for Now; Sarong Paramaribo; Light; Sunrise... Sunset; Satyriade; Lullaby for a Jazz Baby; The Cageling; Inside; Fontessa and Friends; Isba; From the Mountains of Taubalu; Liberian Suite; How to Walk an Elephant; Ancestral Voices; Facets; The Wait; Gymnopedies; Chelsea's Bells; Memoria; Portrait of Billie; Songs Without Words; Blues Suite; Reflections in D; Pigs and Fishes; Tell It Like It Is; Sonera; Blood Memories; Choros; According to Eve; Shards; Carmina Burana; Phases; Waves; Labyrinth; Les Noces; Metallics"
"Newark, DE, USA","University of Delaware; Wilmington High School; Mitchell Hall, University of Delaware; Student Center Auditorium, Delaware State College; Milford High School",Myth; Cry; Congo Tango Palace; Blues Suite; Reflections in D; Quintet; Revelations
"Newark, NJ, USA",Newark Symphony Hall,Caverna Magica; Divining; Shards; Love Songs; Suite Otis; Treading; Flowers; Nubian Lady; Blues Suite; Masekela Langage; Tell It Like It Is; Streams; Revelations; Vespers; The Lark Ascending; Night Creature
"Newburgh, NY, USA","Aquinas Hall Theatre, Mount St. Mary College",Dance for Six; Journey; Cry; Fanga; Revelations
"Niagara, NY, USA","Student Center, Niagara University; Niagara University",The Black Belt; Toccata; Quintet; Revelations; Icarus
"Nijmegen, Netherlands",Stadsschouwburg,Toccata; Blues Suite; Reflections in D; Revelations; The Road of the Phoebe Snow
"Niš, Socialist Federal Republic of Yugoslavia",,Lament; Blues Suite; The Prodigal Prince; Revelations; The Road of the Phoebe Snow
"Nobeoka, Japan",Noguchi Kinekan,Been Here and Gone; Mountainway Chant; Letter to a Lady; Gillespiana; Roots of the Blues; Revelations
"Norfolk, VA, USA","Chrysler Hall; Center Theatre, Norfolk State",Caverna Magica; Divining; Journey; Suite Otis; Treading; Cry; Blues Suite; Bad Blood; Revelations; Night Creature
"Normal, IL, USA","Illinois State University, Union Auditorium",Liberian Suite; Cry; Reflections in D; Streams; Revelations; Night Creature; Echoes in Blue
"Northfield, MA, USA","Northfield School Auditorium, The Northfield Schools",The Black Belt; Knoxville: Summer of 1915; Blues Suite; Journey
"Northfield, MN, USA","Skoglund Center Auditorium, St. Olaf College",Dance for Six; Blues Suite; Revelations
"Numazu, Japan",Numazu Shimin Bunka Center,Cry; The Stack-Up; Blues Suite; Revelations
"Nuremberg, Germany",,
"Odense, Denmark",Odense Concerthus,Cry; The Stack-Up; Night Creature; Revelations
"Oklahoma City, OK, USA",Moon Junior High School; Civic Center Music Hall; Oklahoma City University Fine Arts Auditorium; Northwest Classen High School,Dance for Six; Love Songs; Cry; Blues Suite; After Eden; Hermit Songs; Revelations; Night Creature; Icarus
"Olite, Spain",Outdoor theater,Divining; Suite Otis; Cry; Treading; Revelations; The Stack-Up; Night Creature
"Omaha, NE, USA",Orpheum Theatre; University of Nebraska Omaha; Westside High School Auditorium; Burke High School; Afro-Academy; Orpheum,Isba; Dance for Six; Liberian Suite; Concerto in F; Love Songs; Songs Without Words; Cry; The Stack-Up; Blues Suite; Rainbow 'Round My Shoulder; Fever Swamp; Memoria; Pigs and Fishes; Revelations; The Lark Ascending; Fontessa and Friends
"Oneida, NY, USA",,Toccata; Journey; Blues Suite; Revelations; Icarus
"Oneonta, NY, USA","Alumni Hall, State University College Oneonta; Alumni Hall, State University College at Oneonta",The Black Belt; Blues Suite; Revelations
"Opatija, Socialist Federal Republic of Yugoslavia",Opatija Summer Stage,Toccata; Congo Tango Palace; Reflections in D; Metallics; The Beloved
"Oran, Algeria",National Theater,Toccata; Metallics; Blues Suite; Revelations
"Osaka, Japan",Osaka Kosei Nenkin Kaikan; Festival Hall; Osaka Sankei Hall; Osaka Festival Hall,The River; Inside; Fontessa and Friends; Isba; Been Here and Gone; Mountainway Chant; Concerto in F; Memoria; Precipice; The Stack-Up; Divining; Love Songs; Letter to a Lady; Treading; Roots of the Blues; Cry; Suite Otis; Blues Suite; Night Shade; Pigs and Fishes; Streams; According to Eve; Tilt; For 'Bird' - With Love; Phases; Speeds; Gillespiana; Revelations; Night Creature
"Osimo, Italy",Cathedral of Osimo Square,Reflections in D; Toccata; The Prodigal Prince; Blues Suite
"Oslo, Norway",Oslo Concerthouse,Caverna Magica; Divining; Portrait of Billie; Concerto in F; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Fever Swamp; Speeds; Pigs and Fishes; Revelations; The Stack-Up; Night Creature; Fontessa and Friends
"Ottawa, Ontario, Canada",National Arts Centre/Centre national des Arts; National Arts Center Opera House,Divining; Concerto in F; Suite Otis; Cry; The Time Before the Time After (After the Time Before); Memoria; Later That Day; Inside; Les Noces; Revelations; The Stack-Up; Night Creature
"Palermo, Italy",Teatro Massimo,Spectrum; Concerto in F; Phases; Cry; Treading; Blues Suite; Memoria; Streams; Revelations; Night Creature; Fontessa and Friends
"Palm Desert, CA, USA","Bob Hope Cultural Center, McCallum Theater; Bob Hope Cultural Center",Divining; Shards; Love Songs; Blues Suite; Masekela Langage; Tell It Like It Is; Streams; Revelations; The Stack-Up
"Palm Springs, CA, USA",Palm Springs High School Auditorium,Toccata; Journey; Blues Suite; Revelations; Icarus
"Palo Alto, CA, USA","Memorial Auditorium, Stanford University",Missa Brevis; Dance for Six; Carmina Burana; How Long Have It Been; Love Songs; Cry; Rainbow 'Round My Shoulder; Metallics; Kinetic Molpai; Streams; Revelations; The Lark Ascending
"Paris, France",Grand Palais des Champs Elysees; Hotel du Rohan; Théâtre de la Ville; Palais des Sports; Theatre de Nations; Theatre des Champs-Elysees,Congo Tango Palace; After Eden; Sunrise... Sunset; Hidden Rites; The Road of the Phoebe Snow; Nubian Lady; Memoria; Hobo Sapiens; Coverage II; Hermit Songs; The Stack-Up; Divining; Portrait of Billie; Journey; Love Songs; Suite Otis; Cry; Lament; Blues Suite; Reflections in D; Streams; The Magic of Katherine Dunham; Myth; According to Eve; Icarus; Toccata; Tilt; For 'Bird' - With Love; Dance for Six; Carmina Burana; Rainbow 'Round My Shoulder; Masekela Langage; Fire Sermon; Butterfly; Gillespiana; District Storyville; Gazelle; Revelations; Night Creature; The Beloved; Rooms
"Pasadena, CA, USA",Pasadena Civic Auditorium,Blueshift; Isba; Phases; Love Songs; Suite Otis; Cry; Precipice; Night Shade; Fever Swamp; Pigs and Fishes; Inside; Revelations; The Stack-Up; Fontessa and Friends
"Pasay, Philippines","Folk Arts Theater, Cultural Center of the Philippines; Theater for the Performing Arts, Cultural Center of the Philippines",Facets; Gazelle; Love Songs; Cry; The Wait; Blues Suite; Rainbow 'Round My Shoulder; After Eden; Streams; Revelations; The Lark Ascending; The Road of the Phoebe Snow; Night Creature
"Paterson, NJ, USA","Shea Auditorium, William Paterson College",Toccata; Journey; Kinetic Molpai; Revelations; Icarus
"Pendleton, OR, USA",The Vert,Toccata; Journey; Blues Suite; Revelations; Icarus
"Perth, Australia",Perth Entertainment Center,Divining; Isba; How to Walk an Elephant; Concerto in F; Love Songs; Suite Otis; Treading; Cry; Lament; Speeds; Memoria; Revelations; The Stack-Up; Night Creature; Fontessa and Friends
"Petersburg, VA, USA","Virginia Hall Auditorium, Virginia State College",
"Philadelphia, PA, USA","Schubert Theater; Walnut Street Theatre; New Locust Theatre; Plays and Players Theater; Philadelphia Academy of Music; Locust Street Theatre; Schubert Theatre; Shubert Theatre; Fleisher Auditorium, YM/YWHA Arts Council Series; Academy of Music","Missa Brevis; The Still Point; Places; Concerto in F; Fanga; Kinetic Molpai; Choral Dances; Pas de Duke; Cry; Night Shade; Myth; The Mooche; Icarus; Echoes in Blue; Toccata; Tilt; The Wedding; Masekela Langage; Gillespiana; District Storyville; Gazelle; Night Creature; Opus McShann; The River; Congo Tango Palace; MASS - A Theatre Piece for Singers, Players and Dancers; Flowers; Three Black Kings; Vespers; The Stack-Up; Mary Lou's Mass; Survivors; Journey; Love Songs; Suite Otis; Later That Day; Rainbow 'Round My Shoulder; Butterfly; Revelations; Hidden Rites; Fever Swamp; Hobo Sapiens; Bad Blood; Divining; How Long Have It Been; The Time Before the Time After (After the Time Before); Treading; Streams; Witness; Caverna Magica; Dance for Six; For 'Bird' - With Love; Speeds; Collage; Fire Sermon; The Lark Ascending; Caravan; Light; Sunrise... Sunset; Inside; Fontessa and Friends; Isba; From the Mountains of Taubalu; Facets; Liberian Suite; Memoria; Portrait of Billie; Songs Without Words; Blues Suite; Reflections in D; Pigs and Fishes; Tell It Like It Is; Choros; Blood Memories; According to Eve; Shards; Carmina Burana; Phases; Les Noces; Metallics"
"Pittsburgh, PA, USA","Heinz Hall; Washington-Jefferson; Swickley Academy; Chatham College; Syria Mosque; Civic Arena; Carnegie Mellon University; University of Pittsburgh; Playhouse Performing Arts Center, Point Park University; Benedum Center; Heinz Hall for the Performing Arts",Congo Tango Palace; Concerto in F; Gazelle; Fanga; Fever Swamp; Hobo Sapiens; Three Black Kings; The Stack-Up; Divining; Portrait of Billie; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Reflections in D; Pigs and Fishes; Streams; Blood Memories; Toccata; Shards; Carmina Burana; Phases; Rainbow 'Round My Shoulder; Revelations; The Lark Ascending; Night Creature
"Plainfield, NJ, USA",Plainfield High School; North Plainfield High School,The Black Belt; Knoxville: Summer of 1915; Blues Suite; Journey
"Plattsburgh, NY, USA","Hawkins Hall, Plattsburgh State University College",
"Portland, ME, USA","Alumni Gymnasium, Bates College; City Hall Auditorium",Toccata; Dance for Six; Cry; Blues Suite; Reflections in D; Streams; Hermit Songs; Myth; Icarus; Revelations; Mary Lou's Mass
"Portland, OR, USA",Judson High School; Public Auditorium; Portland Civic Auditorium; Civic Auditorium; Lewis and Clark High School,The Still Point; The River; Concerto in F; Gazelle; Memoria; Kinetic Molpai; Portrait of Billie; How Long Have It Been; The Time Before the Time After (After the Time Before); Treading; Cry; Suite Otis; Blues Suite; Later That Day; Myth; The Mooche; Icarus; Dance for Six; Carmina Burana; Phases; Panambi; Rainbow 'Round My Shoulder; Les Noces; Butterfly; Revelations; The Lark Ascending; Night Creature
"Porto Santo Stefano, Italy",,
"Potsdam, NY, USA","College Theater, SUNY Potsdam",
"Prague, Czechoslovak Socialist Republic",Smetana Theater,Tilt; Portrait of Billie; Love Songs; Suite Otis; Cry; Streams; Butterfly; Revelations; Night Creature
"Princeton, NJ, USA","McCarter Theatre, Princeton University",After Eden; Hidden Rites; Fontessa and Friends; Isba; Been Here and Gone; Liberian Suite; Concerto in F; The Beloved; Flowers; Nubian Lady; Archipelago; Fever Swamp; Memoria; Time Out of Mind; Bad Blood; Hermit Songs; Vespers; The Stack-Up; Choral Dances; Mary Lou's Mass; Divining; Survivors; Journey; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Roots of the Blues; Reflections in D; Pigs and Fishes; Tell It Like It Is; Streams; Myth; Witness; Echoes in Blue; Caverna Magica; Trane' in Three; Toccata; Dance for Six; For 'Bird' - With Love; Carmina Burana; Feast of Ashes; Shards; Rainbow 'Round My Shoulder; Masekela Langage; Butterfly; Gillespiana; The Lark Ascending; Revelations; Night Creature; Opus McShann
"Providence, RI, USA","Brown University; Veterans' Memorial Auditorium, Brown University",Toccata; Dance for Six; Journey; Revelations; Icarus
"Pula, Socialist Federal Republic of Yugoslavia",Istra National Theater,Toccata; Congo Tango Palace; Reflections in D; Metallics; The Beloved
"Purchase, NY, USA","Summer Arts Festival, SUNY Purchase",Isba; Love Songs; Songs Without Words; Cry; Treading; Blues Suite; Night Shade; Fever Swamp; Pigs and Fishes; Revelations; The Stack-Up; Night Creature; Fontessa and Friends
"Rabat, Morocco",Mohammed V Theater,Toccata; Journey; Blues Suite; Revelations; Icarus
"Raleigh, NC, USA","William Neal Reynolds Coliseum, North Carolina State University",Love Songs; Cry; Blues Suite; Streams; Revelations; The Stack-Up
"Rangoon, Burma",Jubilee Hall,Mountainway Chant; Been Here and Gone; Gillespiana; Roots of the Blues; Revelations; The Beloved
"Red Bank, NJ, USA","Carlton Theater; Maurice Levin Auditorium, YM-YWHA of Essex County; Carlton Theater, Community Concert",Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Quintet; Threnody; Revelations
"Redding, CA, USA","Shasta Union High School, Nova High School Auditorium",Toccata; Journey; Blues Suite; Revelations; Icarus
