Place,Venues,Repertory
"Los Angeles, CA, USA","Santa Monica Civic Auditorium; Wiltern Theatre; UCLA; Royce Hall, University of California, Los Angeles; Greek Theatre; Shrine Auditorium; Japanese American Cultural Center; Wiltern Theater; Thorne Hall, Occidental College; Wadsworth Theater; Royce Hall, University of California Los Angeles; The Greek Theatre",Missa Brevis; Blood Burning Moon; Icarus; Hidden Rites; Tilt; Research; Streams; Anjour: Ruminations on Dudley; Poeme; Night Creature; The Stack-Up; The Road of the Phoebe Snow; Feast of Ashes; Collage; The Beloved; Pas de Duke; The Still Point; Tell It Like It Is; Memoria; Caverna Magica; How Long Have It Been; Gazelle; The River; Speeds; Blood Memories; Blues Suite; Night Shade; Concerto in F; Hobo Sapiens; Journey; Diversion No. 1; Hermit Songs; Reflections in D; Kinetic Molpai; Panambi; Divining; Landscape; The Time Before the Time After (After the Time Before); Variegations; Metallics; Suite Otis; Songs Without Words; Pigs and Fishes; Seven Journeys; Light; Toccata; Shards; Dance for Six; Rainbow 'Round My Shoulder; The Prodigal Prince; Butterfly; Love Songs; Crossword; From the Mountains of Taubalu; Congo Tango Palace; Countdown; Vespers; Witness; Fever Swamp; Les Noces; Inside; Portrait of Billie; Cry; Gillespiana; Fontessa and Friends; Flowers; Bad Blood; After Eden; Revelations; Later That Day; The Lark Ascending; Myth; Survivors; For 'Bird' - With Love; Carmina Burana; Masekela Langage; Satyriade; Spectrum; Continental American Suite; Treading; Facets; Opus McShann; Quintet
"Louisville, KY, USA","Whitney Auditorium, Kentucky Center",Treading; Night Creature; The Stack-Up; Concerto in F; Revelations; Cry; Fontessa and Friends; Divining; Fever Swamp; Pigs and Fishes
"Ludwigsburg, Germany",Forum am Schlosspark,Come and Get the Beauty of It Hot; Reflections in D; Sarong Paramaribo; Suite Otis; Revelations; Streams; Journey; Night Creature
"Ludwigshafen, West Germany",Theater am Pfalsbau; Theater in Pfalzbau,Blues Suite; Treading; Night Creature; Survivors; The Stack-Up; Bad Blood; Pigs and Fishes; Concerto in F; Revelations; Cry; Divining; Fever Swamp; Love Songs
"Luxembourg, Luxembourg",Theatre Municipal,The Time Before the Time After (After the Time Before); Blues Suite; Hermit Songs; Toccata; Gazelle; Sunrise... Sunset; Revelations; Suite Otis; Cry; Butterfly; Streams; The Road of the Phoebe Snow; Myth; Night Creature; Love Songs
"Lyon, France",Theatre Romain de Fourviere,Concerto in F; Cry; Streams; Revelations
"Macomb, IL, USA",Western Illinois University,Blues Suite; Clear Songs After Rain; Kinetic Molpai; Revelations; Streams
"Madison, NJ, USA","Baldwin Auditorium, Drew University; Dreyfuss College Auditorium, Fairleigh Dickinson University; Fairleigh Dickinson University, Florham-Madison Campus",Blues Suite; Revelations; Streams
"Madison, WI, USA","Madison Civic Center; Oscar Mayer Theater; Wisconsin Union Theater, University of Wisconsin Madison; Wisconsin Union Theater, University of Wisconsin at Madison; Union Theater, University of Wisconsin at Madison",The Still Point; Phases; Suite Otis; Cry; Gillespiana; Pigs and Fishes; Light; Icarus; The River; The Prodigal Prince; Revelations; Speeds; The Lark Ascending; Night Creature; Blues Suite; Time Out of Mind; The Stack-Up; Spectrum; Concerto in F; Treading; Hermit Songs; Reflections in D; Divining
"Madrid, Spain",Teatro de la Zarzuela; Palacio de Expositione y Congresso,Blues Suite; Treading; The Stack-Up; The Magic of Katherine Dunham; Carmina Burana; Bad Blood; The Mooche; Revelations; Suite Otis; Cry; Streams; Divining; Caverna Magica; Night Creature; Love Songs
"Mandalay, Burma",,The Beloved; Been Here and Gone; Mountainway Chant; Revelations; Gillespiana; Roots of the Blues
"Manhattan, KS, USA","Kansas State University, McCain Auditorium",Carmina Burana; After Eden; Revelations; Cry; The Lark Ascending; Night Creature; Love Songs
"Manila, Philippines",Araneta Coliseum,Mountainway Chant; Revelations; Roots of the Blues; Gillespiana
"Mankato, MN, USA",Mankato High School Auditorium,Blues Suite; Revelations; Quintet
"Mannheim, Germany",Nationaltheater,
"Matsudo, Japan",Seitoku Gakuen Kawanami Memorial Hall,Revelations; Speeds; Love Songs; Divining
"McAllen, TX, USA",McAllen Civic Center,Blues Suite; Revelations; Flowers; Cry
"Meknès, Morocco",Cinema Rif,Blues Suite; Toccata; Icarus; Reflections in D; Revelations
"Melbourne, Australia","Princess Theatre; The State Theatre, Victorian Arts Centre; Comedy Theatre",Memoria; Suite Otis; Cry; Gillespiana; Fontessa and Friends; Rooms; How to Walk an Elephant; Revelations; Speeds; Night Creature; Blues Suite; Letter to a Lady; The Stack-Up; Been Here and Gone; Mountainway Chant; Concerto in F; The Road of the Phoebe Snow; Isba; Lament; Treading; Hermit Songs; The Beloved; Reflections in D; Divining; Roots of the Blues
"Merrick, NY, USA",Calhoun High School,
"Mexico City, Mexico","Sala Miguel Covarrubias, Centro Cultural Universitario; Teatro de Bellas Artes",The Still Point; Memoria; Suite Otis; Phases; Cry; Passage; Rainbow 'Round My Shoulder; Gazelle; The River; Revelations; Later That Day; Butterfly; Streams; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Concerto in F; Treading; Facets; Pas de Duke
"Miami Beach, FL, USA",Jackie Gleason Theater of the Performing Arts,Blues Suite; Treading; Survivors; The Stack-Up; Vespers; Journey; Bad Blood; Concerto in F; Suite Otis; Revelations; Divining; Caverna Magica; The Lark Ascending; Night Creature; Love Songs
"Miami, FL, USA",Miami Beach Theater,The Still Point; Inside; Memoria; Phases; Songs Without Words; Cry; Fontessa and Friends; Blueshift; Pigs and Fishes; The River; Research; Revelations; The Lark Ascending; Night Creature; Love Songs; Blues Suite; The Stack-Up; Spectrum; Concerto in F; Isba; Treading; Lullaby for a Jazz Baby; Fever Swamp; Landscape
"Middelburg, Netherlands",Schouwburg,The Road of the Phoebe Snow; Revelations; Metallics; Lament
"Middlebury, VT, USA","Wright Memorial Theatre, Middlebury College",Rainbow 'Round My Shoulder; Blues Suite; Revelations; Cry
"Middletown, NY, USA",Middletown High School Auditorium,Blues Suite; Revelations; Streams
"Milan, Italy",Piccolo Teatro; Teatro Nazionale,Suite Otis; Cry; Caverna Magica; Toccata; The Magic of Katherine Dunham; Bad Blood; Revelations; Speeds; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Survivors; The Stack-Up; The Road of the Phoebe Snow; Treading; Reflections in D; Vespers; Divining
"Millersville, PA, USA","Lyte Auditorium, Millersville State College",The Road of the Phoebe Snow; Blues Suite
"Milwaukee, WI, USA","Uihlein Stage; Uihlein Hall, Performing Arts Center; Alverno Auditorium, Alverno College; Uihlein Hall; Performing Arts Center; Performing Arts Center, Uihlein Hall; Pabst Theatre, University of Wisconsin",The Time Before the Time After (After the Time Before); The Still Point; Les Noces; Tell It Like It Is; Memoria; Suite Otis; Phases; Cry; Toccata; Flowers; Shards; Icarus; Gazelle; Hidden Rites; After Eden; Revelations; Butterfly; Streams; Night Creature; Love Songs; Blues Suite; The Stack-Up; Concerto in F; Echoes in Blue; Hobo Sapiens; Treading; Liberian Suite; Choral Dances; Reflections in D; Vespers; Quintet; Divining
"Minneapolis, MN, USA","Northrop Memorial Auditorium, University of Minnesota; Northrup Auditorium, Unversity of Minnesota; University of Minnesota",The Time Before the Time After (After the Time Before); Les Noces; Memoria; Suite Otis; Phases; Cry; Pigs and Fishes; Flowers; The Magic of Katherine Dunham; Dance for Six; Rainbow 'Round My Shoulder; The Wedding; Revelations; Later That Day; Streams; The Lark Ascending; Clear Songs After Rain; The Stack-Up; Concerto in F; The Road of the Phoebe Snow; Treading; Kinetic Molpai; Divining; Fever Swamp
"Mito, Japan",Ibaraki Kenritsu Kenmin Bunka Center,Concerto in F; Suite Otis; Cry; Revelations
"Modena, Italy",Teatro Grande in Piazza,Blues Suite; Revelations; Cry; Seven Journeys
"Mombasa, Kenya",Chandria Hall,Blues Suite; Metallics; Congo Tango Palace; Revelations; Lament
"Montclair, NJ, USA",Montclair High School Auditorium,Feast of Ashes; Revelations; Fanga; Journey; Night Creature
"Montevideo, Uruguay",Teatro Solis,Revelations; Night Creature; Facets
"Montgomery, WV, USA","Keyton Theater, part of W. Virginia Colleges",
"Montreal, Quebec, Canada","Salle Wilfrid-Pelletier; Place des Arts; Salle Wilfrid-Pelletier, Place des Arts",Les Noces; Inside; Memoria; Suite Otis; Cry; Caverna Magica; Rainbow 'Round My Shoulder; Revelations; Later That Day; Speeds; Butterfly; Streams; Night Creature; Love Songs; Blues Suite; The Stack-Up; Treading; Divining; Caravan
"Moorhead, MN, USA","Center For The Arts Auditorium, Moorhead State College",Blues Suite; Revelations; Time Out of Mind
"Moscow, Russia, U.S.S.R.",Variety Theater,Blues Suite; Toccata; Metallics; Dance for Six; Congo Tango Palace; Reflections in D; Icarus; Masekela Langage; The Prodigal Prince; Revelations; Streams; The Road of the Phoebe Snow; Journey; Poeme
"Mount Pleasant, MI, USA","Warner Auditorium, Central Michigan University",The Road of the Phoebe Snow; Blues Suite; Threnody
"Muncie, IN, USA","Emens Auditorium, Ball State University",Blues Suite; Toccata; Icarus; Revelations; Journey
"Munich, Germany",Deutsches Theater; Bayerische Staatsoper Nationaltheater,Memoria; Suite Otis; Cry; Toccata; Shards; Rainbow 'Round My Shoulder; Rooms; Bad Blood; Revelations; Streams; Night Creature; Blues Suite; Come and Get the Beauty of It Hot; For 'Bird' - With Love; The Stack-Up; Chelsea's Bells; Night Shade; The Road of the Phoebe Snow; Treading; Hermit Songs; Vespers; Episodes; Divining; Landscape
"Münster, Germany",Stadtische Bühnen,Revelations; Rooms; Come and Get the Beauty of It Hot
"Nagoya, Japan",Aichiken Bunka Kaikan; Nagoya Shimin Kaikan,Blues Suite; Letter to a Lady; According to Eve; Been Here and Gone; Mountainway Chant; Revelations; Cry; Streams; Gillespiana; Roots of the Blues
"Nairobi, Kenya",City Hall,Blues Suite; Metallics; Congo Tango Palace; The Prodigal Prince; Revelations; Lament
"Nanchang, China",Nanchang Railroad Workers' Cultural Palace,Memoria; Concerto in F; Revelations; Cry; Night Creature
"Nashville, TN, USA","Kean Hall, A&I State University; Andrew Jackson Hall",Blues Suite; Toccata; Rainbow 'Round My Shoulder; Icarus; Reflections in D; The River; Memoria; Revelations; Night Creature; Love Songs
"Nervi, Italy",Teatro al Parchi; Open Air Theater,Blues Suite; Treading; Rainbow 'Round My Shoulder; Sonnets; Memoria; Spectrum; Concerto in F; Phases; Cry; Streams; Fontessa and Friends; Revelations; Night Creature; Pigs and Fishes
"Neuss, West Germany",Stadtshalle; Stadthalle,Memoria; Revelations; Suite Otis; Cry; Fontessa and Friends; Night Creature
"New Brunswick, NJ, USA","State Theatre, Rutgers University",Blues Suite; Feast of Ashes; Rainbow 'Round My Shoulder; The Wedding; Revelations; Portrait of Billie; Fanga; The Lark Ascending
"New Delhi, India",Kamani Hall,Blues Suite; Facets; Rainbow 'Round My Shoulder; Gazelle; Journey; Revelations; Cry; Streams; The Road of the Phoebe Snow; The Lark Ascending; Night Creature
"New Haven, CT, USA",Unknown (for now) venue in New Haven,
"New London, CT, USA","Palmer Auditorium, Connecticut College",Metallics; Cry; Gillespiana; Light; Toccata; Labyrinth; Shards; Icarus; Dance for Six; Rainbow 'Round My Shoulder; Hidden Rites; Revelations; Streams; The Lark Ascending; Poeme; Love Songs; Mary Lou's Mass; Blues Suite; Carmina Burana; Masekela Langage; The Road of the Phoebe Snow; Journey; Treading; Hermit Songs; Reflections in D; Kinetic Molpai; Suspensions; Quintet; Divining
"New London, NH, USA","Sawyer Auditorium, Colby College",Metallics; Congo Tango Palace; The Prodigal Prince; Revelations; Lament
"New Orleans, LA, USA",Amphitheatre; Seanger Theater; Municipal Auditorium; Saenger Auditorium,The Time Before the Time After (After the Time Before); Memoria; Suite Otis; Phases; Songs Without Words; Fontessa and Friends; Cry; Pigs and Fishes; Toccata; Rainbow 'Round My Shoulder; Bad Blood; After Eden; Revelations; Butterfly; Streams; Night Creature; Love Songs; Blues Suite; The Stack-Up; Night Shade; Carmina Burana; Masekela Langage; The Road of the Phoebe Snow; Journey; Treading; Feast of Ashes; Vespers; Fever Swamp
"New Paltz, NY, USA",State University College,Blues Suite
"New Rochelle, NY, USA",Loew's Theatre,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"New Wilmington, PA, USA","Will W. Orr Auditorium, Westminster College",Blues Suite; Toccata; Icarus; Revelations; Journey
"New York City, NY, USA","City Center 55th Street Theater; The Waldorf Astoria; Steps of Metropolitan Opera House; New York Public Library/42nd Street; Palladium; Bronx Community College; Delacorte Theater, Central Park; Prospect Park; Philharmonic Hall, Lincoln Center; ANTA Theatre; Van Cortlandt Park, NY; Whitman Auditorium, Brooklyn College; Ailey Dance Center; Newhouse Theater, Lincoln Center; Theresa L. Kaufmann Concert Hall; Hunter College Playhouse; Liberty Park; City Center 55 Street Theater; New York State Pavilion, World's Fair; New York State Theater; Metropolitan Opera House; Delacorte Theatre, Central Park; Lewisohn Stadium; Clark Center for the Performing Arts, YWCA; Great Neck High School; Village Gate; Alice Tully Hall; Cloves Lake Park; Kaufmann Concert Hall, The Dance Center of the YM-YWHA; The Mall, Central Park; Canarsie High School Auditorium; Fashion Institute of Technology; Douglas Fairbanks Theater; Clark Center for the Performing Arts; Unknown (for now) venue in Brooklyn; Apollo Theatre; Billy Rose Theatre; Spencer Memorial Church; City Center; Davis Hall, City College; Madison Square Garden; Harlem School of the Arts, Inc./SUNY; Clark Center for the Performing Arts, Westside YWCA; The Music Hall, Sailors' Snug Harbor; Cathedral of St. John The Divine; Bond International Casino; City Center Dance Theater; Lehman Center for the Performing Arts, Lehman College, City University of New York; PS 175, Garnet Public School; 1515 Broadway; Americana Hotel; Theatre-in-the-Park, Central Park; Brooklyn Academy of Music; Staten Island Community College; Church of the Master; Queensborough Community College","Missa Brevis; Black Unionism; Black, Brown and Beige; Blood Burning Moon; Waves; Medusa; Paz; Canticle of the Elements; Icarus; The Wedding; Hidden Rites; Tilt; Sarong Paramaribo; Research; Streams; Anjour: Ruminations on Dudley; Poeme; Night Creature; Escapades; Clear Songs After Rain; The Stack-Up; Been Here and Gone; Places; Precipice; The Road of the Phoebe Snow; Lament; Feast of Ashes; Collage; Liberian Suite; Choral Dances; The Beloved; Mourner's Bench; Episodes; Roots of the Blues; Caravan; Pas de Duke; The Still Point; The Black Belt; Tell It Like It Is; Memoria; Fanga; The Cageling; Caverna Magica; How Long Have It Been; Spell; Gazelle; The River; MASS - A Theatre Piece for Singers, Players and Dancers; Speeds; Blood Memories; Blues Suite; Time Out of Mind; Night Shade; Suspension; Concerto in F; Ariette Oubliee; Echoes in Blue; Archipelago; Isba; Hobo Sapiens; Nubian Lady; Journey; Hermit Songs; Creation of the World; Reflections in D; Kinetic Molpai; Panambi; Ancestral Voices; Divining; Landscape; The Time Before the Time After (After the Time Before); Variegations; District Storyville; Metallics; According to Eve; Child of the Earth; Suite Otis; Mingus; Songs Without Words; Blueshift; Pigs and Fishes; Seven Journeys; Light; Toccata; Dance for Six; Shards; Rainbow 'Round My Shoulder; The Prodigal Prince; Butterfly; Love Songs; Mary Lou's Mass; Coverage II; Letter to a Lady; Crossword; Congo Tango Palace; From the Mountains of Taubalu; Three Black Kings; Fire Sermon; Nocturne; Countdown; Cinco Latinos; Vespers; Suspensions; Witness; Gymnopedies; Fever Swamp; Les Noces; Inside; Portrait of Billie; Phases; Cry; Fontessa and Friends; Gillespiana; The Wait; Spirituals; Labyrinth; Flowers; Passage; The Magic of Katherine Dunham; Knoxville: Summer of 1915; Bad Blood; How to Walk an Elephant; Ode and Homage; The Mooche; Revelations; Later That Day; Choros; After Eden; The Lark Ascending; Myth; To Jose Clemente Orozco; Come and Get the Beauty of It Hot; Survivors; For 'Bird' - With Love; Chelsea's Bells; Sunrise... Sunset; Carmina Burana; Satyriade; Sonnets; Masekela Langage; Spectrum; Sonera; Three for Now-Modern Jazz Suite; Continental American Suite; Threnody; Treading; Lullaby for a Jazz Baby; Facets; Opus McShann; Quintet"
"Newark, DE, USA","Wilmington High School; University of Delaware; Mitchell Hall, University of Delaware",Blues Suite; Congo Tango Palace; Reflections in D; Revelations; Quintet; Cry; Myth
"Newark, NJ, USA",Newark Symphony Hall; Symphony Hall,Blues Suite; Treading; Flowers; Shards; Masekela Langage; Vespers; Tell It Like It Is; Revelations; Suite Otis; Nubian Lady; Streams; Divining; Caverna Magica; The Lark Ascending; Night Creature; Love Songs
"Newburgh, NY, USA","Aquinas Hall Theatre, Mount St. Mary College",Dance for Six; Revelations; Cry; Fanga; Journey
"Niagara, NY, USA","Niagara University; Student Center, Niagara University",The Black Belt; Toccata; Icarus; Revelations; Quintet
"Nijmegen, Netherlands",Stadsschouwburg,Blues Suite; Toccata; Reflections in D; Revelations; The Road of the Phoebe Snow
"Niš, Socialist Federal Republic of Yugoslavia",,Blues Suite; The Prodigal Prince; Revelations; The Road of the Phoebe Snow; Lament
"Nobeoka, Japan",Noguchi Kinekan,Letter to a Lady; Been Here and Gone; Mountainway Chant; Revelations; Gillespiana; Roots of the Blues
"Norfolk, VA, USA","Chrysler Hall; Center Theatre, Norfolk State",Blues Suite; Treading; Bad Blood; Revelations; Suite Otis; Cry; Divining; Caverna Magica; Journey; Night Creature
"Normal, IL, USA","Illinois State University, Union Auditorium",Liberian Suite; Reflections in D; Revelations; Cry; Streams; Echoes in Blue; Night Creature
"Northfield, MA, USA","Northfield School Auditorium, The Northfield Schools",Blues Suite; The Black Belt; Journey; Knoxville: Summer of 1915
"Northfield, MN, USA","Skoglund Center Auditorium, St. Olaf College",Dance for Six; Blues Suite; Revelations
"Numazu, Japan",Numazu Shimin Bunka Center,Blues Suite; Revelations; Cry; The Stack-Up
"Nuremberg, Germany",,
"Odense, Denmark",Odense Concerthus,Revelations; Night Creature; Cry; The Stack-Up
"Oklahoma City, OK, USA",Northwest Classen High School; Oklahoma City University Fine Arts Auditorium; Moon Junior High School; Civic Center Music Hall,Blues Suite; Hermit Songs; Dance for Six; Icarus; After Eden; Revelations; Cry; Night Creature; Love Songs
"Olite, Spain",Outdoor theater,Treading; The Stack-Up; Revelations; Suite Otis; Cry; Divining; Night Creature
"Omaha, NE, USA",Burke High School; Orpheum; Orpheum Theatre; University of Nebraska Omaha; Westside High School Auditorium; Afro-Academy,Blues Suite; Liberian Suite; The Stack-Up; Dance for Six; Rainbow 'Round My Shoulder; Pigs and Fishes; Memoria; Concerto in F; Songs Without Words; Cry; Revelations; Fontessa and Friends; Isba; The Lark Ascending; Fever Swamp; Love Songs
"Oneida, NY, USA",,Blues Suite; Toccata; Icarus; Revelations; Journey
"Oneonta, NY, USA","Alumni Hall, State University College at Oneonta; Alumni Hall, State University College Oneonta",Blues Suite; The Black Belt; Revelations
"Opatija, Socialist Federal Republic of Yugoslavia",Opatija Summer Stage,Toccata; Metallics; The Beloved; Congo Tango Palace; Reflections in D
"Oran, Algeria",National Theater,Blues Suite; Revelations; Toccata; Metallics
"Osaka, Japan",Osaka Kosei Nenkin Kaikan; Festival Hall; Osaka Sankei Hall; Osaka Festival Hall; Okasaka Kosei Nenkin Kaikan,According to Eve; Inside; Memoria; Suite Otis; Phases; Cry; Gillespiana; Fontessa and Friends; Pigs and Fishes; The River; Tilt; Revelations; Speeds; Streams; Night Creature; Love Songs; Blues Suite; Letter to a Lady; The Stack-Up; Been Here and Gone; For 'Bird' - With Love; Night Shade; Mountainway Chant; Concerto in F; Precipice; Isba; Treading; Divining; Roots of the Blues
"Osimo, Italy",Cathedral of Osimo Square,Blues Suite; Reflections in D; Toccata; The Prodigal Prince
"Oslo, Norway",Oslo Concerthouse,Blues Suite; Treading; Night Creature; The Stack-Up; Pigs and Fishes; Concerto in F; Speeds; Suite Otis; Revelations; Fontessa and Friends; Cry; Caverna Magica; Portrait of Billie; Divining; Fever Swamp; Love Songs
"Ottawa, Ontario, Canada",National Arts Centre/Centre national des Arts; National Arts Center Opera House,The Time Before the Time After (After the Time Before); Les Noces; The Stack-Up; Inside; Memoria; Concerto in F; Later That Day; Suite Otis; Cry; Divining; Revelations; Night Creature
"Palermo, Italy",Teatro Massimo,Blues Suite; Treading; Memoria; Spectrum; Concerto in F; Phases; Cry; Streams; Fontessa and Friends; Revelations; Night Creature
"Palm Desert, CA, USA","Bob Hope Cultural Center, McCallum Theater; Bob Hope Cultural Center",Blues Suite; The Stack-Up; Shards; Masekela Langage; Tell It Like It Is; Revelations; Streams; Divining; Love Songs
"Palm Springs, CA, USA",Palm Springs High School Auditorium,Blues Suite; Toccata; Icarus; Revelations; Journey
"Palo Alto, CA, USA","Memorial Auditorium, Stanford University",Missa Brevis; Metallics; Dance for Six; Rainbow 'Round My Shoulder; Carmina Burana; Kinetic Molpai; Revelations; Cry; Streams; The Lark Ascending; How Long Have It Been; Love Songs
"Paris, France",Palais des Sports; Hotel du Rohan; Théâtre de la Ville; Theatre de Nations; Grand Palais des Champs Elysees; Theatre des Champs-Elysees,District Storyville; According to Eve; Memoria; Portrait of Billie; Suite Otis; Cry; Gillespiana; Toccata; Dance for Six; Gazelle; The Magic of Katherine Dunham; Icarus; Rooms; Rainbow 'Round My Shoulder; Hidden Rites; After Eden; Tilt; Revelations; Streams; Butterfly; Myth; Night Creature; Love Songs; Blues Suite; Coverage II; Time Out of Mind; For 'Bird' - With Love; Congo Tango Palace; The Stack-Up; Sunrise... Sunset; Carmina Burana; Masekela Langage; Nubian Lady; Hobo Sapiens; Fire Sermon; The Road of the Phoebe Snow; Journey; Lament; Hermit Songs; The Beloved; Reflections in D; Divining
"Parma, Italy",Teatro Municipali R. Valli,The Stack-Up; Satyriade; Concerto in F; Revelations; Cry; Streams; Fontessa and Friends; Pigs and Fishes
"Pasadena, CA, USA",Pasadena Civic Auditorium,The Stack-Up; Night Shade; Inside; Pigs and Fishes; Blueshift; Revelations; Phases; Suite Otis; Precipice; Fontessa and Friends; Isba; Cry; Fever Swamp; Love Songs
"Pasay, Philippines","Theater for the Performing Arts, Cultural Center of the Philippines; Folk Arts Theater, Cultural Center of the Philippines",The Wait; Blues Suite; Facets; Rainbow 'Round My Shoulder; Gazelle; After Eden; Revelations; Cry; Streams; The Road of the Phoebe Snow; The Lark Ascending; Night Creature; Love Songs
"Paterson, NJ, USA","Shea Auditorium, William Paterson College",Toccata; Icarus; Kinetic Molpai; Revelations; Journey
"Pendleton, OR, USA",The Vert,Blues Suite; Toccata; Icarus; Revelations; Journey
"Perth, Australia",Perth Entertainment Center,Fontessa and Friends; Treading; The Stack-Up; How to Walk an Elephant; Memoria; Concerto in F; Speeds; Suite Otis; Revelations; Divining; Isba; Cry; Night Creature; Love Songs; Lament
"Petersburg, VA, USA","Virginia Hall Auditorium, Virginia State College",
"Philadelphia, PA, USA","Walnut Street Theatre; Philadelphia Academy of Music; Plays and Players Theater; New Locust Theatre; Academy of Music; Fleisher Auditorium, YM/YWHA Arts Council Series; Locust Street Theatre; Schubert Theatre; Schubert Theater; Shubert Theatre","Missa Brevis; Icarus; The Wedding; Hidden Rites; Tilt; Streams; Night Creature; The Stack-Up; Places; Collage; Choral Dances; Liberian Suite; Caravan; Pas de Duke; The Still Point; Tell It Like It Is; Memoria; Fanga; Caverna Magica; How Long Have It Been; Gazelle; The River; MASS - A Theatre Piece for Singers, Players and Dancers; Speeds; Blood Memories; Blues Suite; Night Shade; Concerto in F; Echoes in Blue; Hobo Sapiens; Isba; Journey; Reflections in D; Kinetic Molpai; Divining; The Time Before the Time After (After the Time Before); District Storyville; Metallics; According to Eve; Suite Otis; Songs Without Words; Pigs and Fishes; Light; Toccata; Shards; Dance for Six; Rainbow 'Round My Shoulder; Butterfly; Love Songs; Mary Lou's Mass; From the Mountains of Taubalu; Three Black Kings; Congo Tango Palace; Fire Sermon; Vespers; Witness; Fever Swamp; Les Noces; Inside; Portrait of Billie; Phases; Cry; Gillespiana; Fontessa and Friends; Flowers; Bad Blood; The Mooche; Revelations; Choros; Later That Day; The Lark Ascending; Myth; Survivors; For 'Bird' - With Love; Sunrise... Sunset; Carmina Burana; Masekela Langage; Treading; Facets; Opus McShann"
"Pittsburgh, PA, USA","Swickley Academy; Heinz Hall; Civic Arena; Heinz Hall for the Performing Arts; Washington-Jefferson; Playhouse Performing Arts Center, Point Park University; Benedum Center; University of Pittsburgh; Carnegie Mellon University; Chatham College; Syria Mosque",Portrait of Billie; Suite Otis; Phases; Fanga; Cry; Pigs and Fishes; Toccata; Shards; Rainbow 'Round My Shoulder; Gazelle; Revelations; Streams; Blood Memories; The Lark Ascending; Night Creature; Love Songs; Blues Suite; The Stack-Up; Three Black Kings; Congo Tango Palace; Carmina Burana; Concerto in F; Hobo Sapiens; Treading; Reflections in D; Divining; Fever Swamp
"Plainfield, NJ, USA",Plainfield High School; North Plainfield High School,Blues Suite; The Black Belt; Journey; Knoxville: Summer of 1915
"Plattsburgh, NY, USA","Hawkins Hall, Plattsburgh State University College",
"Portland, ME, USA",City Hall Auditorium,Blues Suite; Hermit Songs; Toccata; Dance for Six; Icarus; Reflections in D; Revelations; Cry; Streams; Myth; Mary Lou's Mass
"Portland, OR, USA",Lewis and Clark High School; Civic Auditorium; Portland Civic Auditorium; Judson High School; Public Auditorium,The Time Before the Time After (After the Time Before); The Still Point; Les Noces; Memoria; Portrait of Billie; Suite Otis; Phases; Cry; How Long Have It Been; Icarus; Dance for Six; Rainbow 'Round My Shoulder; Gazelle; The River; The Mooche; Revelations; Later That Day; Butterfly; The Lark Ascending; Myth; Night Creature; Blues Suite; Carmina Burana; Concerto in F; Treading; Kinetic Molpai; Panambi
"Porto Santo Stefano, Italy",,
"Potsdam, NY, USA","College Theater, SUNY Potsdam",
"Prague, Czechoslovak Socialist Republic",Smetana Theater,Tilt; Portrait of Billie; Suite Otis; Cry; Streams; Revelations; Butterfly; Night Creature; Love Songs
"Princeton, NJ, USA","McCarter Theater, Princeton; McCarter Theatre, Princeton University",The Time Before the Time After (After the Time Before); Tell It Like It Is; Memoria; Cry; Fontessa and Friends; Gillespiana; Caverna Magica; Pigs and Fishes; Toccata; Flowers; Shards; Dance for Six; Rainbow 'Round My Shoulder; Bad Blood; Hidden Rites; After Eden; Revelations; Streams; Butterfly; Trane' in Three; The Lark Ascending; Myth; Night Creature; Love Songs; Mary Lou's Mass; Time Out of Mind; Been Here and Gone; Survivors; For 'Bird' - With Love; The Stack-Up; Carmina Burana; Masekela Langage; Concerto in F; Nubian Lady; Archipelago; Echoes in Blue; Isba; Journey; Treading; Hermit Songs; Feast of Ashes; Liberian Suite; Choral Dances; The Beloved; Reflections in D; Vespers; Opus McShann; Witness; Divining; Roots of the Blues; Fever Swamp
"Providence, RI, USA","Veterans' Memorial Auditorium, Brown University",Toccata; Dance for Six; Icarus; Revelations; Journey
"Pula, Socialist Federal Republic of Yugoslavia",Istra National Theater,Toccata; Metallics; The Beloved; Congo Tango Palace; Reflections in D
"Purchase, NY, USA","Summer Arts Festival, SUNY Purchase",Blues Suite; Treading; Night Creature; The Stack-Up; Night Shade; Pigs and Fishes; Revelations; Songs Without Words; Cry; Fontessa and Friends; Isba; Fever Swamp; Love Songs
"Rabat, Morocco",Mohammed V Theater,Blues Suite; Toccata; Icarus; Revelations; Journey
"Raleigh, NC, USA","William Neal Reynolds Coliseum, North Carolina State University",Blues Suite; The Stack-Up; Revelations; Cry; Streams; Love Songs
"Rangoon, Burma",Jubilee Hall,The Beloved; Been Here and Gone; Mountainway Chant; Revelations; Gillespiana; Roots of the Blues
"Red Bank, NJ, USA","Carlton Theater, Community Concert",Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Redding, CA, USA","Shasta Union High School, Nova High School Auditorium",Blues Suite; Toccata; Icarus; Revelations; Journey
"Reggio Emilia, Italy","Teatro Municipale, ""R. Valli""",Treading; The River; Memoria; Revelations; Phases; Fontessa and Friends; Night Creature
